Designator,Footprint,Quantity,Value,LCSC Part #
"BAT+1, BAT+2",BatteryPad,2,+,
"BATGND1, BATGND2",BatteryPad,2,-,
C1,0603,1,2.2uF,
"DL1, DL10, DL11, DL12, DL13, DL14, DL15, DL16, DL17, DL18, DL19, DL2, DL20, DL3, DL4, DL5, DL6, DL7, DL8, DL9, DR1, DR10, DR11, DR12, DR13, DR14, DR15, DR16, DR17, DR18, DR19, DR2, DR20, DR3, DR4, DR5, DR6, DR7, DR8, DR9",Diode_SOD123,40,D_Small,
ENCL17,RollerEncoder+SW_horizontal,1,RotaryEncoder_Switch,
ENCR17,RollerEncoder_SW_Vertical,1,RotaryEncoder_Switch,
"J1, J2",JST_PH_reversible,2,Conn_01x02_Socket,
"PSW1, PSW2",MSK12C02,2,SW_SPDT,
"R1, R2",0603,2,4.7k,
R3,0603,1,100k,
"RSW1, RSW2",SKHLLCA010,2,SW_Push,
"SWL1, SWL10, SWL11, SWL12, SWL13, SWL14, SWL15, SWL16, SWL18, SWL19, SWL2, SWL20, SWL3, SWL4, SWL5, SWL6, SWL7, SWL8, SWL9, SWR1, SWR10, SWR11, SWR12, SWR13, SWR14, SWR15, SWR16, SWR18, SWR19, SWR2, SWR20, SWR3, SWR4, SWR5, SWR6, SWR7, SWR8, SWR9",SW_Hotswap_Kailh_Choc_V1V2,38,SW_Push_45deg,
TRACKPOINT_IN,PinSocket_1x05_P2.54mm_Vertical,1,Trackpoint module,
U1,xiao-ble-smd-cutout,1,xiao-ble,
U2,xiao-ble-plus-smd-cutout,1,xiao-ble,
