Designator,Mid X,Mid Y,Rotation,Layer
BAT+1,87.0,-99.0,0.0,top
BAT+2,213.0,-99.0,0.0,top
BATGND1,92.0,-99.0,0.0,top
BATGND2,208.0,-99.0,0.0,top
C1,237.17775,-112.03375,270.0,top
DL1,140.677565,-74.695348,270.0,bottom
DL10,123.509,-85.99,180.0,bottom
DL11,133.577565,-74.695348,270.0,bottom
DL12,133.577565,-67.496348,270.0,bottom
DL13,133.577565,-60.297348,270.0,bottom
DL14,105.509,-100.24,180.0,bottom
DL15,123.509,-102.99,180.0,bottom
DL16,34.0,-98.5,10.0,top
DL17,133.577565,-102.394348,270.0,bottom
DL18,137.127565,-102.394348,270.0,bottom
DL19,140.677565,-102.394348,270.0,bottom
DL2,140.677565,-67.496348,270.0,bottom
DL20,133.059,-95.04,90.0,bottom
DL3,140.677565,-60.292348,270.0,bottom
DL4,105.509,-66.24,180.0,bottom
DL5,123.509,-68.99,180.0,bottom
DL6,137.127565,-74.695348,270.0,bottom
DL7,137.127565,-67.496348,270.0,bottom
DL8,137.127565,-60.297348,270.0,bottom
DL9,105.509,-83.24,180.0,bottom
DR1,166.422435,-74.695348,270.0,bottom
DR10,187.234,-89.54,270.0,bottom
DR11,159.322435,-74.695348,270.0,bottom
DR12,159.322435,-67.496348,270.0,bottom
DR13,159.322435,-60.297348,270.0,bottom
DR14,199.009,-100.665,180.0,bottom
DR15,180.309,-102.915,180.0,bottom
DR16,266.0,-98.5,170.0,top
DR17,166.422435,-102.394348,270.0,bottom
DR18,162.872435,-102.394348,270.0,bottom
DR19,159.322435,-102.394348,270.0,bottom
DR2,166.422435,-67.496348,270.0,bottom
DR20,167.009,-95.24,90.0,bottom
DR3,166.422435,-60.297348,270.0,bottom
DR4,204.734,-54.34,0.0,bottom
DR5,187.434,-56.165,0.0,bottom
DR6,162.872435,-74.695348,270.0,bottom
DR7,162.872435,-67.496348,270.0,bottom
DR8,162.872435,-60.297348,270.0,bottom
DR9,203.634,-87.015,270.0,bottom
ENCL17,98.578165,-116.151848,0.0,top
ENCR17,202.865665,-117.789348,0.0,top
J1,138.309,-51.54,0.0,top
J2,161.609,-51.54,0.0,top
JP1,231.02775,-112.23375,270.0,top
PSW1,65.125,-51.8,270.0,top
PSW2,234.925,-51.8,270.0,top
R1,235.17775,-112.03375,90.0,top
R2,239.17775,-112.03375,270.0,top
R3,233.17775,-112.03375,270.0,top
RSW1,123.0,-52.675,0.0,top
RSW2,177.0,-52.675,0.0,top
SWL1,44.350509,-79.997401,10.0,top
SWL10,121.129205,-82.324769,0.0,top
SWL11,50.254623,-113.481299,10.0,top
SWL12,66.902565,-98.364348,4.0,top
SWL13,85.129229,-88.168408,0.0,top
SWL14,103.129241,-96.604887,0.0,top
SWL15,121.129205,-99.324989,0.0,top
SWL16,31.152565,-109.089348,10.0,top
SWL18,118.027565,-120.089348,345.0,top
SWL19,136.477565,-127.764348,330.0,top
SWL2,64.530814,-64.446731,4.0,top
SWL20,139.129205,-90.824989,0.0,top
SWL3,85.129229,-54.167968,0.0,top
SWL4,103.129241,-62.604447,0.0,top
SWL5,121.129205,-65.324549,0.0,top
SWL6,47.302565,-96.739348,10.0,top
SWL7,65.71669,-81.405539,4.0,top
SWL8,85.129229,-71.168188,0.0,top
SWL9,103.129241,-79.604667,0.0,top
SWR1,255.552565,-80.014348,350.0,top
SWR10,178.753245,-82.324549,180.0,top
SWR11,249.648451,-113.498245,350.0,top
SWR12,232.916689,-98.370992,356.0,top
SWR13,214.753165,-88.168408,0.0,top
SWR14,196.753205,-96.604887,0.0,top
SWR15,178.753245,-99.324549,0.0,top
SWR16,268.702565,-109.089348,350.0,top
SWR18,181.877565,-120.089348,15.0,top
SWR19,163.427203,-127.764348,30.0,top
SWR2,235.28844,-64.453375,356.0,top
SWR20,160.753245,-90.824549,180.0,top
SWR3,214.753165,-54.167968,0.0,top
SWR4,196.753205,-62.604447,0.0,top
SWR5,178.753245,-65.324549,0.0,top
SWR6,252.600506,-96.756297,350.0,top
SWR7,234.102565,-81.412184,356.0,top
SWR8,214.753165,-71.168188,0.0,top
SWR9,196.753205,-79.604667,180.0,top
TRACKPOINT_IN,236.17775,-115.48875,270.0,top
